abnormal,[Ab5nC:mEl],"adj.反常的, 变态的"
abolish,[E5bCliF],"vt.废止, 废除(法律、制度、习俗等)"
abrupt,[E5brQpt],"adj.突然的, 陡峭的, 生硬的"
absurd,[Eb5sE:d],"adj.荒谬的, 可笑的"
abundance,[E5bQndEns],"n.丰富, 充裕, 丰富充裕"
academy,[E5kAdEmi],"n.(高等)专科院校, 研究院, 学会, 学术团体, 学院"
accessory,[Ak5sesEri],"n.附件, 零件, 附加物, 从犯, 同谋者//adj.附属的, 补充的, 同谋的, 副的"
accommodate,[E5kCmEdeit],"vt.供应, 供给, 使适应, 调节, 和解, 向...提供, 容纳, 调和//vi.适应"
accord,[E5kC:d],"n.一致, 符合, 调和, 协定//vt.一致, 给与//vi.符合"
acknowledge,[Ek5nClidV],"vt.承认, 答谢, 报偿"
acquaint,[E5kweint],"vt.使熟知, 通知"
acquisition,[7Akwi5ziFEn],"n.获得, 获得物"
activate,[5Aktiveit],"vt.刺激, 使活动//vi.有活力"
acute,[E5kju:t],"adj.敏锐的, [医]急性的, 剧烈"
adhere,[Ed5hiE],"vi.粘附, 胶着, 坚持//v.坚持"
adjacent,[E5dVeisEnt],"adj.邻近的, 接近的"
adjoin,[E5dVCin],"v.邻接, 毗连"
administer,[Ed5ministE],"v.管理, 给予, 执行"
adolescent,[7AdEu5lesnt],"adj.青春期的, 青春的//n.青少年"
advent,[5AdvEnt],"n.(尤指不寻常的人或事)出现, 到来"
adverse,[5AdvE:s],"adj.不利的, 敌对的, 相反的"
advertise,[5AdvEtaiz],"v.做广告, 登广告"
advocate,[5AdvEkit],"n.提倡者, 鼓吹者//vt.提倡, 鼓吹"
aerial,[5ZEriEl],"adj.航空的, 生活在空气中的, 空气的, 高耸的//n.天线"
aesthetic,[i:s5Wetik],"adj.美学的, 审美的, 有审美感的"
affiliate,[E5filieit],"v.(使...)加入, 接受为会员"
affirm,[E5fE:m],"v.断言, 确认, 肯定"
afflict,[E5flikt],"vt.使痛苦, 折磨"
agenda,[E5dVendE],n.议程
aggravate,[5AgrEveit],"vt.使恶化, 加重"
agitation,[AdVi5teiFEn],"n.激动, 兴奋, 煽动, 搅动"
agony,[5AgEni],"n.苦恼, 极大的痛苦"
agreeable,[E5griEbl],"adj.使人愉快的, 惬意的, 适合的"
alert,[E5lE:t],"adj.提防的, 警惕的//n.警惕, 警报"
alien,[5eiljEn],"n.外侨//adj.外国的, 相异的, 不同, 背道而驰"
allege,[E5ledV],"vt.宣称, 断言"
alleviate,[E5li:vieit],"vt.使(痛苦等)易于忍受, 减轻"
alliance,[E5laiEns],"n.联盟, 联合"
allocate,[5AlEukeit],"vt.分派, 分配"
allowance,[E5lauEns],"n.津贴, 补助, 宽容, 允许//vt.定量供应"
ally,[E5lai; A5lai],"v.结盟, 与...(在血统, 性质等上)有关联, 同盟//n.同盟国, 支持者"
alongside,[E5lCN5said],adv.在旁//prep.横靠
alternate,[C:l5tE:nit],"adj.交替的, 轮流的, 预备的//v.交替, 轮流, 改变"
amateur,[5AmEtE(:); 5AmEtjuE],"n.业余爱好者, 业余艺术家"
ambassador,[Am5bAsEdE],n.大使
ambiguous,[7Am5bigjuEs],"adj.暧昧的, 不明确的"
ambitious,[Am5biFEs],"adj.有雄心的, 野心勃勃的"
amend,[E5mend],"v.修正, 改进, 改正"
amends,[E5mendz],"n.(对毁坏, 损坏的)赔偿, 赔礼"
ample,[5Ampl],"adj.充足的, 丰富的"
amplify,[5Amplifai],"vt.放大, 增强//v.扩大"
analogy,[E5nAlEdVi],"n.类似, 类推"
analytic,[7AnE5litik],"adj.分析的, 解析的"
analytical,[7AnE5litikEl],"adj.分析的, 解析的"
angel,[5eindVEl],"n.天使, 完善可爱的人"
anniversary,[7Ani5vE:sEri],n.周年纪念
anonymous,[E5nCnimEs],adj.匿名的
Antarctic,[],adj.南极的
antique,[An5ti:k],"n.古物, 古董//adj.古时的, 过时的"
appendix,[E5pendiks],"n.附录, 附属品, [解]阑尾"
applaud,[E5plC:d],"v.拍手喝彩, 称赞, 赞同"
appraisal,[E5preizEl],"n.评价, 估价(尤指估价财产,以便征税), 鉴定"
appreciable,[E5pri:FiEbl],"adj.可感知的, 可评估的"
apprehension,[7Apri5henFEn],"n.理解, 忧惧, 拘捕"
apt,[Apt],"adj.易于...的, 有...倾向的, 灵敏的, 灵巧的, 适当的, 切题的, 敏捷, 倾向是"
arc,[B:k],"n.弧, 弓形, 拱"
arch,[B:tF],"n.拱门, 弓形结构, 拱形//v.(使)弯成弓形//adj.主要"
architect,[5B:kitekt],n.建筑师
arctic,[5B:ktik],"adj.北极的, 北极区的//n.北极, 北极圈"
array,[E5rei],"n.排列, 编队, 军队, 衣服, 大批//vt.部署, 穿着, 排列"
articulate,[B:5tikjulit],"adj.有关节的, 发音清晰的//vt.用关节连接, 接合, 清晰明白地说"
ascend,[E5send],"v.攀登, 上升"
ascertain,[7AsE5tein],"vt.确定, 探知"
ascribe,[Es5kraib],"vt.归因于, 归咎于"
assault,[E5sC:lt],"n.攻击, 袭击//v.袭击"
assert,[E5sE:t],"v.断言, 声称"
asset,[5Aset],"n.资产, 有用的东西"
assimilate,[E5simileit],v.吸收
assumption,[E5sQmpFEn],"n.假定, 设想, 担任, 承当, 假装, 作态"
assurance,[E5FuErEns],"n.确信, 断言, 保证, 担保"
astronomy,[E5strCnEmi],n.天文学
athlete,[5AWli:t],"n.运动员, 运动选手"
attendance,[E5tendEns],"n.出席, 出席的人数, 伺候, 照料"
attendant,[E5tendEnt],n.服务员
attorney,[E5tE:ni],"n.<美>律师, (业务或法律事务上的)代理人"
augment,[C: g5ment],"v.增加, 增大//n.增加"
authentic,[C:5Wentik],adj.可信的
authoritative,[C:5WCritEtiv],"adj.权威的, 有权威的, 命令的"
authorize,[5C:WEraiz],v.批准
automation,[C:tE5meiFEn],"n.自动控制, 自动操作"
autonomy,[C:5tCnEmi],n.自治
avail,[E5veil],"vi.有益于, 有帮助, 有用, 有利//vt.有利于//n.效用, 利益"
avert,[E5vE:t],v.转移
aviation,[7eivi5eiFEn],"n.飞行, 航空, 航空学, 航空术"
axis,[5Aksis],n.轴
bachelor,[5bAtFElE],"n.单身汉, 文理学士, 幼雄兽"
badge,[bAdV],"n.徽章, 证章"
baffle,[5bAfl],"vt.困惑, 阻碍, 为难"
bald,[bC:ld],"adj.光秃的, 单调的, 枯燥的"
ballet,[5bAlei; bA5lei],"n.芭蕾舞, 芭蕾舞剧, 芭蕾舞乐曲"
ban,[bB:n],"n.禁令//vt.禁止, 取缔(书刊等)弯"
bandage,[5bAndidV],n.绷带
bankrupt,[5bANkrQpt],"n.破产者//adj.破产了的, 完全丧失//vt.使破产"
barely,[5bZEli],"adv.仅仅, 刚刚, 几乎不能"
barren,[5bArEn],"adj.不生育的, 不孕的, 贫瘠的, 没有结果的, 无益的, 单调的, 无聊的, 空洞的//n.荒地"
basement,[5beismEnt],"n.地下室, 墙脚"
batch,[bAtF],"n.(面包等)一炉, 一批"
bearing,[5bZEriN],"n.轴承, 关系, 方面, 意义, 方向, 方位"
beforehand,[bi5fC:hAnd],adv.预先
betray,[bi5trei],"vt.出卖, 背叛, 泄露(秘密), 露出...迹象"
bewilder,[bi5wildE],"vt.使迷惑, 使不知所措, 使昏乱"
bias,[5baiEs],"n.偏见, 偏爱, 斜线//vt.使存偏见"
bibliography,[7bibli5CgrEfi],"n.(有关一个题目或一个人的)书目, 参考书目"
bid,[bid],"vt.出价, 投标, 祝愿, 命令, 吩咐//n.出价, 投标//v.支付"
biography,[bai5CgrEfi],n.传记
bizarre,[bi5zB:],"adj.奇异的(指态度,容貌,款式等) 参考"
blaze,[bleiz],"n.火焰, 光辉, 情感爆发//vi.燃烧, 照耀, 激发//vt.在树皮上刻路标, 公开宣布"
bleak,[bli:k],"adj.寒冷的, 阴冷的, 荒凉的, 凄凉的, 黯淡的"
bless,[bles],"vt.祝福, 保佑, <口>哎呀!我的天哪!"
blossom,[5blCsCm],"n.花(尤指结果实者), 花开的状态, 兴旺期//vi.开花, 兴旺, 发展"
blunder,[5blQndE],"v.跌跌撞撞地走, 犯大错, 做错//n.大错, 失误"
blunt,[blQnt],"adj.钝的, 生硬的"
blush,[blQF],"v.脸红, 羞愧, 呈现红色, 使成红色//n.脸红, 红色, 红光"
bonus,[5bEunEs],"n.奖金, 红利"
boom,[bu:m],"n.繁荣, 隆隆声//v.发隆隆声, 兴隆, 大事宣传"
boost,[bu:st],v.推进
boycott,[5bCikEt],"n.vt.联合抵制, 联合排斥某国货物或与某国绝交"
brace,[breis],"n.支柱, 带子, 振作精神//vt.支住, 撑牢, 振作起来, 奋起//adj.曲柄的//v.支持"
bracket,[5brAkit],"n.墙上凸出的托架, 括弧, 支架//v.括在一起"
breakdown,[5breikdaun],"n.崩溃, 衰弱, 细目分类"
bribe,[braib],"n.贿赂//vt.贿赂, 向...行贿"
brisk,[brisk],"adj.敏锐的, 凛冽的, 轻快的, 活泼的//vt.使活泼//vi.活跃起来"
brittle,[5britl],"adj.易碎的, 脆弱的"
bronze,[brCnz],"n.青铜(铜与锡合金), 铜像//adj.青铜色的"
brood,[bru:d],"n.(动物中鸟或家禽的)一窝, (同种或同类的)一伙//vt.孵, 沉思"
bruise,[bru:z],"n.瘀伤, 擦伤//v.打伤, 撞伤"
brutal,[5bru:tl],"adj.残忍的, 兽性的"
bud,[bQd],"n.芽, 蓓蕾//vi.发芽, 萌芽"
budget,[5bQdVit],"n.预算//vi.做预算, 编入预算"
buffer,[5bQfE],n.缓冲器
bug,[bQg],"n.小虫, 臭虫//v.装置窃听器, 打扰"
bull,[bul],"n.[动]公牛, 粗壮如牛的人"
bulletin,[5bulitin],"n.公告, 报告"
bump,[bQmp],"n.撞击, 肿块//v.碰(伤), 撞(破), 颠簸"
bunch,[bQntF],"n.串, 束v.捆成一束"
bureaucracy,[bjuE5rCkrEsi],"n.官僚, 官僚作风, 官僚机构"
burial,[5beriEl],n.埋葬
buzz,[bQz],"n.嗡嗡声//v.作嗡嗡声, 嗡嗡作响, 逼近"
bypass,[5baipB:s; (?@) 5baipAs],"n.旁路//vt.设旁路, 迂回"
cafeteria,[5kAfi5tiEriE],n.自助餐厅
canvas,[5kAnvEs],v.彻底讨论探究//n.帆布
capsule,[5kApsju:l],"n.(植物)蒴果, 胶囊, 瓶帽, 太空舱"
captive,[5kAptiv],"n.俘虏, 被美色或爱情迷住的人//adj.被俘的, 被迷住的"
cartoon,[kB:5tu:n],"n.(报刊上的)政治性漫画, 讽刺画, 卡通画, 漫画(常有解说词)//v.画漫画//n.卡通片,动画片"
carve,[kB:v],"v.雕刻, 切开"
casualty,[5kAVjuElti],n.伤亡
category,[5kAtigEri],"n.种类, 别, [逻]范畴"
cater,[5keitE],"vi.备办食物, 满足(需要), 投合"
cathedral,[kE5Wi:drEl],n.大教堂
catholic,[5kAWElik],n.天主教徒//adj.天主教的
caution,[5kC:FEn],"n.小心, 谨慎, 警告//vt.警告"
cautious,[5kC:FEs],"adj.谨慎的, 小心的"
cavity,[5kAviti],"n.洞, 空穴, [解剖]腔"
cellar,[5selE],"n.地窖, 地下室, 酒窖, 藏酒量"
census,[5sensEs],n.人口普查
ceramic,[si5rAmik],adj.陶器的//n.陶瓷制品
cereal,[5siEriEl],"n.谷类食品, 谷类"
certainty,[5sE:tEnti],"n.确定, 确实的事情"
certify,[5sE:tifai],"v.证明, 保证"
chaos,[5 keiCs],"n.混乱, 混沌(宇宙未形成前的情形)ㄍɑ? 漫画(常有解说词)v.画漫"
characterize,[5kAriktEraiz],"vt.表现...的特色, 刻画的...性格"
charity,[5tFAriti],"n.慈善, 施舍, 慈善团体"
charm,[tFB:m],"n.吸引力, (女人的)魔力, 魅力, 符咒//vt.迷人, 使陶醉, 行魔法//vi.用符咒, 有魔力"
charter,[5tFB:tE],"vt.租, 包(船、车等)//n.宪章"
chat,[tFAt],v.聊天//n.聊天
cherish,[5tFeriF],"vt.珍爱, 怀抱(希望等)"
chip,[tFip],"n.碎片, 筹码//v.削成碎片, 碎裂//芯片"
chord,[kC:d],"n.弦, 和音, 情绪//n.[解]腱"
chorus,[5kC:rEs],"n.合唱, 合唱队, 齐声"
chronic,[5krCnik],"adj.慢性的, 延续很长的"
circulation,[7sE:kju5leiFEn],"n.循环, 流通, 发行额"
circus,[5sE:kEs],"n.马戏团, 杂技团, 马戏场, 杂技场"
cite,[sait],"vt.引用, 引证, 提名表扬"
civilian,[si5viljEn],"n.平民, 公务员, 文官//adj.民间的, 民用的"
clamp,[klAmp],"n.夹子, 夹具, 夹钳//vt.夹住, 夹紧"
clarity,[5klAriti],"n.清楚, 透明"
clash,[klAF],"n.冲突, 撞击声, 抵触//v.(使)发出撞击声, 猛撞, 冲突"
clasp,[klB:sp],"n.扣子, 钩, 紧握, 抱住//v.扣紧, 紧握, 搂抱, 密切合作"
classic,[5klAsik],"n.杰作, 名著//adj.第一流的"
clause,[klC:z],"n.子句, 条款"
clearance,[5kliErEns],n.清除
client,[5klaiEnt],"n.[计]顾客, 客户, 委托人"
climax,[5klaimAks],"n.高潮, 顶点"
cling,[kliN],"vi.粘紧, 附着, 紧贴, 坚持(意见), 墨守(习惯)使陶醉, 行魔法//vi.用"
clinic,[5klinik],"n.门诊部, 临床"
clip,[klip],"n.夹子, 回形针, 子弹夹//vt.夹住, 剪短, 修剪"
clockwise,[5klCkwaiz],adj.顺时针方向的//adv.顺时针方向地
closet,[5klCzit],"n.壁橱, 储藏室, 厕所//adj.关起门来的//vt.关入私室密谈"
cluster,[5klQstE],"n.串, 丛//vi.丛生, 成群"
clutch,[klQtF],"v.抓住, 攫住//n.离合器"
coherent,[kEu5hiErEnt],"adj.粘在一起的, 一致的, 连贯的"
coincide,[7kEuin5said],"vi.一致, 符合"
coincidence,[kEu5insidEns],"n.一致, 相合, 同时发生或同时存在(尤指偶然)的事"
collaboration,[kE7lAbE5reiFEn],"n.协作, 通敌"
collide,[kE5laid],"vi.碰撞, 抵触"
colonial,[kE5lEunjEl],"adj.殖民的, 殖民地的 n.殖民地居民"
combat,[5kCmbEt],"n.战斗, 格斗//v.战斗, 搏斗, 抗击"
comedy,[5kCmidi],"n.喜剧, 喜剧性的事情"
comet,[5kCmit],n.彗星
commemorate,[kE5memEreit],vt.纪念
commence,[kE5mens],"v.开始, 着手"
commend,[kE5mend],"vt.称赞, 表扬, 推荐, 委托, 吸引"
commentary,[5kCmEntEri],"n.注释, 解说词"
commitment,[kE5mitmEnt],"n.委托事项, 许诺, 承担义务"
commodity,[kE5mCditi],n.日用品
commonplace,[5kCmEnpleis],"n.平凡的事, 平常话//adj.平凡的"
commonwealth,[5kCmEnwelW],"n.国民整体, 共和国, 联邦"
commute,[kE5mju:t],"v.交换, 抵偿, 减刑, <电工>整流"
compact,[5kCmpAkt],"adj.紧凑的, 紧密的, 简洁的//n.契约, 合同, 小粉盒"
comparable,[5kCmpErEbl],"adj.可比较的, 比得上的"
compartment,[kEm5pB:tmEnt],"n.间隔间, 车厢"
compatible,[kEm5pAtEbl],"adj.谐调的, 一致的, 兼容的"
compensate,[5kCmpEnseit],"v.偿还, 补偿, 付报酬"
competence,[5kCmpEtEns],n.能力
competitive,[kEm5petitiv],adj.竞争的
compile,[kEm5pail],"vt.编译, 编辑, 汇编"
complement,[5kCmplimEnt],"n.补足物, [文法]补语, [数]余角//vt.补助, 补足"
complication,[7kCmpli5keiF(E)n],"n.复杂化, (使复杂的)因素//n.[医]并发症"
compliment,[5kCmplimEnt],"n.称赞, 恭维, 致意, 问候, 道贺//vt.称赞, 褒扬, 恭维"
comply,[kEm5plai],"vi.顺从, 答应, 遵守"
composite,[5kCmpEzit; -zait],"adj.合成的, 复合的//n.合成物"
compulsory,[kEm5pQlsEri],"adj.必需做的, 必修的, 被强迫的, 被强制的, 义务的"
concede,[kEn5si:d],"vt.勉强, 承认, 退让//vi.让步"
conceive,[kEn5si:v],"vt.构思, 以为, 持有//vi.怀孕, 考虑, 设想"
conception,[kEn5sepFEn],"n.观念, 概念"
concession,[kEn5seFEn],n.让步
concise,[kEn5sais],"adj.简明的, 简练的"
confer,[kEn5fE:],"vt.授予(称号、学位等), 赠与, 把...赠与, 协议//v.协商, 交换意见"
confidential,[kCnfi5denFEl],"adj.秘密的, 机密的"
configuration,[kEn7figju5reiFEn],"n.构造, 结构, 配置, 外形"
conform,[kEn5fC:m],"vt.使一致, 使遵守, 使顺从//vi.符合, 相似, 适应环境//adj.一致的, 顺从的"
confront,[kEn5frQnt],"vt.使面临, 对抗"
confusion,[kEn5fju:VEn],"n.混乱, 混淆"
conscientious,[7kCnFi5enFEs],adj.尽责的
consecutive,[kEn5sekjutiv],"adj.连续的, 联贯的"
consensus,[kEn5sensEs],"n.一致同意, 多数人的意见, 舆论"
consequent,[5kCnsikwEnt],"adj.作为结果的, 随之发生的"
conserve,[kEn5sE:v],"vt.保存, 保藏"
consolidate,[kEn5sClideit],v.巩固
conspicuous,[kEn5spikjuEs],adj.显著的
constituent,[kEn5stitjuEnt],"n.委托人, 要素//adj.有选 举权的； 有宪法制定［修改］权的"
constrain,[kEn5strein],"vt.强迫, 抑制, 拘束"
consultant,[kEn5sQltEnt],"n.顾问, 商议者, 咨询者"
consumer,[kEn5sju:mE],n.消费者
contaminate,[kEn5tAmineit],v.污染
contemplate,[5kCntempleit],"v.凝视, 沉思, 预期, 企图"
contempt,[kEn5tempt],"n.轻视, 轻蔑, 耻辱, 不尊敬, [律]藐视法庭(或国会)?"
contend,[kEn5tend],"v.斗争, 竞争, 主张"
context,[5kCntekst],"n.上下文, 文章的前后关系"
continuity,[7kCnti5nju(:)iti],"n.连续性, 连贯性"
contradict,[kCntrE5dikt],"vt.同...矛盾, 同...抵触"
contribution,[7kCntri5bju:FEn],"n.捐献, 贡献, 投稿"
contrive,[kEn5traiv],"v.发明, 设计, 图谋"
controversial,[7kCntrE5vE:FEl],"adj.争论的, 争议的"
controversy,[5kCntrEvE:si],"n.论争, 辩论, 论战"
converge,[kEn5vE:dV],"v.聚合, 集中于一点//vt.会聚"
convict,[5kCnvikt],"vt.证明...有罪, 宣告...有罪//n.罪犯"
conviction,[kEn5vikFEn],"n.深信, 确信, 定罪, 宣告有罪"
cooperative,[kEu5CpErEtiv],"adj.合作的, 协力的"
cordial,[5kC:diEl; 5kC:dVEl],"n.兴奋剂, 兴奋性饮料//adj.热忱的, 诚恳的, 兴奋的"
corporate,[5kC:pErit],"adj.社团的, 法人的, 共同的, 全体的"
corps,[kC:],"n.军团, 兵队, 团, 兵种, 技术兵种, 特殊兵种, (德国大学的)学生联合会"
correlate,[5kCrileit],vt.使相互关联//vi.和...相关
correspondence,[7kCris5pCndEns],"n.相应, 通信, 信件"
correspondent,[7kCris5pCndEnt],"n.通讯记者, 通信者"
corrode,[kE5rEud],"v.使腐蚀, 侵蚀"
corrupt,[kE5rQpt],"adj.腐败的, 贪污的, 被破坏的, 混浊的, (语法)误用的//vt.使腐烂, 腐蚀, 使恶化//vi.腐烂, 堕落"
cosmic,[5kCzmik],adj.宇宙的
costume,[5kCstju:m; -5tju:m],"n.装束, 服装"
couch,[kautF],"n.(文学)床, 睡椅//v.(用语言)表达"
counsel,[5kaunsEl],"n.讨论, 商议, 辩护律师//vt.劝告, 忠告"
counterpart,[5kauntEpB:t],"n.副本, 极相似的人或物, 配对物"
courtesy,[5kE:tisi; 5kC:-],"n.谦恭, 允许, 礼貌"
coward,[5kauEd],"n.懦弱的人, 胆小的人"
cradle,[5kreidl],"n.摇篮, 发源地, 支船架//vt.将...放在摇篮内"
creation,[kri5eiFEn],"n.创造, 创作物"
cripple,[5kripl],n.跛子//v.削弱
crisp,[krisp],"adj.脆的, 易碎的"
criterion,[krai5tiEriEn],"n.(批评判断的)标准, 准据, 规范"
crucial,[5kru:FiEl; 5kru:FEl],adj.至关紧要的
cruise,[kru:z],"vi.巡游, 巡航//n.巡游, 巡航"
cue,[kju:],"n.暗示, 提示, 球杆"
culminate,[5kQlmineit],v.达到顶点
cumulative,[5kju:mjulEtiv],adj.累积的
curb,[kE:b],n.路边
currency,[5kQrEnsi],n.流通
curriculum,[kE5rikjulEm],n.课程
curt,[kE:t],adj.简略的
customary,[5kQstEmEri],"adj.习惯的, 惯例的"
cylinder,[5silindE],"n.圆筒, 圆柱体, 汽缸, 柱面"
cynical,[5sinikEl],adj.愤世嫉俗的
damn,[dAm],v.谴责
dazzle,[5dAzl],"v.(使)眼花, 眩耀//n.耀眼"
deadly,[5dedli],"adj.致命的, 势不两立的, 死一般的, 极度的, 必定的"
decent,[5di:snt],"adj.正派的, 端庄的, 有分寸的, (服装)得体的, 大方的//adj.<口>相当好的、象样的"
decimal,[5desimEl],"adj.十进的, 小数的, 以十为基础的, 十进制//n.小数"
decisive,[di5saisiv],adj.决定性的
declaration,[7deklE5reiFEn],"n.宣布, 宣言, 声明"
decline,[di5klain],"vi.下倾, 下降, 下垂//v.拒绝, 衰落//n.下倾, 下降, 下垂, 斜面, 斜坡, 衰败, 衰落"
dedicate,[5dedikeit],"vt.献(身), 致力, 题献(一部著作给某人)落"
deem,[di:m],"v.认为, 相信"
deficiency,[di5fiFEnsi],"n.缺乏, 不足"
deficit,[5defisit],"n.赤字, 不足额"
defy,[di5fai],"vt.不服从, 公然反抗, 藐视, 挑衅, 违抗, 使...难于//n.挑战"
degenerate,[di5dVenEreit],adj.退化的//v.退化
degrade,[di5greid],"v.(使)降级, (使)堕落, (使)退化"
delegate,[5deligit],n.代表//vt.委派...为代表
deliberate,[di5libEreit],"adj.深思熟虑的, 故意的, 预有准备的//v.商讨"
denial,[di5naiEl],"n.否认, 否定, 谢绝, 拒绝"
denote,[di5nEut],"vt.指示, 表示"
denounce,[di5nauns],"vt.公开指责, 公然抨击, 谴责"
dentist,[5dentist],n.牙科医生
depict,[di5pikt],"vt.描述, 描写"
depression,[di5preFEn],"n.沮丧, 消沉, 低气压, 低压"
deprive,[di5praiv],"vt.剥夺, 使丧失"
depute,[di5pju:t],v.委托
descendant,[di5send(E)nt],"n.子孙, 后裔, 后代"
descent,[di5sent],"n.降下, 降落, 世系, 血统, 侵袭"
designate,[5dezigneit],"vt.指明, 指出, 任命, 指派//v.指定, 指派"
despatch,[dis5pAtF],v.n.派遣
despise,[dis5paiz],vt.轻视
destined,[],adj.去往…的
destiny,[5destini],"n.命运, 定数"
destructive,[dis5trQktiv],adj.破坏(性)的
detach,[di5tAtF],"vt.分开, 分离, 分遣, 派遣(军队)的"
detective,[di5tektiv],n.侦探//adj.侦探的
deteriorate,[di5tiEriEreit],v.(使)恶化
deviate,[5di:vieit],"vi.背离, 偏离//v.偏离"
diagnose,[5daiEgnEuz],v.诊断
diet,[5daiEt],"n.通常所吃的食物, 会议"
differentiate,[7difE5renFieit],"v.区别, 区分"
diffuse,[di5fju:z],"v.散播, 传播, 漫射, 扩散, (使)慢慢混合//adj.散开的, 弥漫的"
dignity,[5digniti],"n.尊严, 高贵"
dilemma,[di5lemE7 dai-],"n.进退两难的局面, 困难的选择"
dilute,[dai5lju:t7 di5l-],"v.冲淡, 变淡, 变弱, 稀释//adj.淡的, 弱的, 稀释的"
diminish,[di5miniF],"v.(使)减少, (使)变小"
dine,[dain],"vi.吃饭, 进餐"
diploma,[di5plEumE],"n.文凭, 毕业证书, 证明权力、特权、荣誉等的证书, 奖状"
diplomatic,[7diplE5mAtik],"adj.外交的, 老练的"
directory,[di5rektEri],"n.姓名地址录, 目录"
disable,[dis5eibl],"v.使残废, 使失去能力, 丧失能力"
disastrous,[di5zB:strEs],"adj.损失惨重的, 悲伤的"
discern,[di5sE:n],"v.目睹, 认识, 洞悉, 辨别, 看清楚"
disclose,[dis5klEuz],"vt.揭露, 透露"
