abnormal,[Ab5nC:mEl],"adj.反常的, 变态的"
repay,[ri(:)5pei],"v.偿还, 报答, 报复"
repel,[ri5pel],"vt.击退, 抵制, 使厌恶, 使不愉快"
repertoire,[5repEtwB:],"n.(准备好演出的)节目, 保留剧目, (计算机的)指令表, 指令系统, <美>(某个人的)全部技能"
replacement,[ri5pleismEnt],"n.归还, 复位, 交换, 代替者, 补充兵员, 置换, 移位"
representation,[7reprizen5teiFEn],"n.表示法, 表现, 陈述, 请求, 扮演, 画像, 继承, 代表"
reproach,[ri5prEutF],v.责备
republican,[ri5pQblikEn],"adj.共和国的, 共和政体的, 共和主义的, 有关共和的//n.共和党人"
resemblance,[ri5zemblEns],n.类同之处
resent,[ri5zent],"v.愤恨, 怨恨"
reservation,[7rezE5veiFEn],"n.保留, (旅馆房间等)预定, 预约"
reside,[ri5zaid],vi.居住
residential,[7rezi5denFEl],"adj.住宅的, 与居住有关的"
resonance,[5rezEnEns],"n.共鸣, 回声, 反响, 中介, 谐振, 共振, 共振子, 极短命的不稳定基本粒子"
resultant,[ri5zQltEnt],"adj.作为结果而发生的, 合成的"
retail,[5ri:teil],"n.零售//adj.零售的//vt.零售, 转述//vi.零售//adv.以零售方式"
retention,[ri5tenFEn],保持力
retort,[ri5tC:t],"v.反驳, 反击, 回报//n.曲颈甑, 曲颈瓶, 蒸器"
retrieve,[ri5tri:v],v.重新得到//n.找回
retrospect,[5retrEuspekt],n.回顾
revelation,[7revi5leiFEn],"n.显示, 揭露, 被揭露的事, 新发现, 启示, 揭示"
revenge,[ri5vendV],"n.报仇, 复仇//vt.替...报仇, 复仇"
revive,[ri5vaiv],"v.(使)苏醒, (使)复兴, (使)复活, (使)再生效, 回想"
revolve,[ri5vClv],"v.(使)旋转, 考虑, 循环出现"
rig,[rig],"n.索具装备, 钻探设备, 钻探平台, 钻塔//v.装上索具, 配备, 装配"
rigorous,[5rigErEs],"adj.严格的, 严厉的, 严酷的, 严峻的"
rim,[rim],"n.边, 轮缘, 蓝框//vt.镶边, 为...装边, 沿...边缘滚动//vi.形成边状"
riot,[5raiEt],"n.暴乱, 骚动, (植物, 疾病等)蔓延, 放荡, 暴动//v.骚乱, 放纵, 挥霍, 参加骚动"
rip,[rip],"v.撕, 剥, 劈, 锯, 裂开, 撕裂//n.裂口, 裂缝"
ripple,[5ripl],n.波纹//v.起波纹
ritual,[5ritjuEl],"n.典礼, (宗教)仪式, 礼节//adj.典礼的, (宗教)仪式的"
robust,[rE5bQst],adj.精力充沛的
romance,[rE5mAns; rEu-],"n.冒险故事, 浪漫史, 传奇文学, 风流韵事, 虚构//vi.写传奇, 渲染, 虚构"
rot,[rCt],"v.(使)腐烂, (使)腐败//n.腐烂, 腐败"
royalty,[5rCiElti],"n.皇室, 王权"
rupture,[5rQptFE(r)? 断绝(关系等); 割裂n.破裂; 决裂; 敌对; 割裂],"v.破裂, 裂开, 断绝(关系等), 割裂//n.破裂, 决裂, 敌对, 割裂"
safeguard,[5seif7gB:d],"vt.维护, 保护, 捍卫//n.安全装置, 安全措施"
saint,[seint; sEnt],"n.圣人, 道德崇高的人, 圣徒//adj.神圣//v.成为圣徒"
sanction,[5sANkFEn],"n.批准, 同意, 支持, 制裁, 认可//v.批准, 同意, 支持, 鼓励, 认可"
saturate,[5sAtFEreit],"v.使饱和, 浸透, 使充满"
sauce,[sC:s],"n.沙司, 酱油, 调味料//vt.调味, 使增加趣味"
savage,[5sAvidV],"adj.野蛮的, 未开化的, 凶猛的, 残忍的//vt.用暴力对付//n.原始的人, 粗鲁的人"
scandal,[5skAndl],"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
scar,[skB:],"n.伤痕,疤痕//v.结疤,使留下伤痕,创伤"
scared,[skZEd],adj.恐惧的
scent,[sent],"n.气味, 香味, 香水, 线索, 嗅觉, 臭迹//vt.闻出, 嗅, 发觉, 循着遗臭追踪, 使充满气味//vi.嗅猎, 发出气味"
sceptical,[5skeptikEl],"adj.怀疑论的, 怀疑的"
scorn,[skC:n],"n.轻蔑, 嘲笑, 被叱责的人//vt.轻蔑, 不屑做"
scrap,[skrAp],"n.小片, 废料, 剪下来的图片, 文章, 残余物, 废料, 打架//vt.扔弃, 敲碎, 拆毁//vi.互相殴打//adj.零碎的, 废弃的"
script,[skript],"n.手稿, 手迹, 剧本, 考生的笔试卷, 原本"
scrutiny,[5skru:tini],n.详细审查
sculpture,[5skQlptFE],"n.雕刻, 雕刻品, 雕塑, 雕塑品, [地理] 刻蚀//v.雕刻, 雕塑, 刻蚀"
seam,[si:m],"n.接缝, 线缝, 缝合线, 衔接口, 伤疤, 层//vt.缝合, 接合, 焊合, 使留下伤痕//vi.裂开, 发生裂痕"
sector,[5sektE],"n.部分, 部门, [计]扇区, 地区, 象限, 扇形//v.使分成部分, 把...分成扇形"
seemingly,[5si:miNli],adv.表面上地
segment,[5segmEnt],"n.段, 节, 片断//v.分割"
segregate,[5segrigeit],v.隔离
seminar,[5seminB:],"n.研究会, 讨论发表会"
senator,[5senEtE],"n.参议员, (大学的)评议员, (古罗马的)元老院议员"
sensation,[sen5seiFEn],"n.感觉, 感情, 感动, 耸人听闻的"
sentiment,[5sentimEnt],"n.情操, 情感, 情绪, 观点, 多愁善感, 感情"
sexual,[5seksjuEl],"adj.性的, 性别的, [生]有性的"
shabby,[5FAbi],"adj.破旧的, 褴褛的, 低劣的, 卑鄙的, 不公平的"
shaft,[FB:ft],"n.轴, 杆状物"
shatter,[5FAtE],"n.粉碎, 碎片, 落花(叶,粒等)//vt.打碎, 使散开, 粉碎, 破坏//vi.粉碎, 损坏, 落叶"
sheer,[FiE],"adj.全然的, 纯粹的, 绝对的, 彻底的, 透明的, 峻峭的//vi.避开, 躲避, 偏航//vt.使避开, 使偏航//adv.完全, 全然, 峻峭//n.偏航"
shipment,[5FipmEnt],"n.装船, 出货"
shrewd,[Fru:d],adj.精明
shrug,[FrQg],n.耸肩//v.耸肩
shutter,[5FQtE],"n.关闭者, 百叶窗, 快门, <美俚>安眠药//vt.关上, 装以遮门, 以百叶窗遮闭"
shuttle,[5FQtl],"n.往返汽车(列车、飞机), 航天飞机, 梭子, 穿梭//v.穿梭往返"
signify,[5signifai],"vt.表示, 意味//vi.要紧, 有重要性//v.颇为重要, 表示"
silicon,[5silikEn],"n.[化]硅, 硅元素"
simulate,[5simjuleit],"vt.模拟, 模仿, 假装, 冒充"
simultaneous,[7simEl5teinjEs],"adj.同时的, 同时发生的"
sin,[sin],"n.[俗] 违背习俗, 不合情理之事, 过失, 罪过, [数学] 正弦函数"
situated,[5sitjueitid],"adj.位于,被置于境遇,处于...的立场"
skeleton,[5skelitEn],"n.(动物之)骨架, 骨骼, 基干, 纲要, 万能钥匙"
skeptical,[5skeptikEl],"adj.怀疑性的,好怀疑的,<口>无神论的"
skip,[skip],"v.跳, 蹦, 急速改变, 跳读, 遗漏, 跳跃//n.跳跃"
slack,[slAk],"n.松弛, 静止, 淡季, 闲散, 家常裤//adj.松弛的, 不流畅的, 疏忽的, 软弱的, 漏水的, 呆滞的, 懒散的//adv.马虎地, 缓慢地//vt.使松弛, 使缓慢, 马虎从事//vi.松懈, 减弱, 松驰"
slap,[slAp],"vt.拍, 掌击, 拍击//n.拍, 掌击, 拍击"
slaughter,[5slC:tE],"n.屠宰, 残杀, 屠杀//v.屠宰, 残杀, 屠杀"
slim,[slim],"adj.苗条的, 纤细的, 不足取的, 无价值的, 细长的//v.变细, 减肥"
slogan,[5slEugEn],"n.口号, 标语"
slot,[slCt],"n.缝, 狭槽, 位置, 水沟, 细长的孔, 硬币投币口, 狭通道, 足迹//vt.开槽于, 跟踪"
slum,[slQm],n.贫民窟//vi.访问贫民区
smash,[smAF],"v.打碎, 粉碎//n.打碎, 粉碎//adj.出色的"
smuggle,[5smQgl],"n.走私, 偷带//v.走私"
snack,[snAk],"n.小吃, 快餐, 一份//v.吃快餐(小吃)值的, 细长的"
snap,[snAp],"v.猛地吸住, 突然折断, 使劈啪地晌, 猛咬//n.猛咬, 突然折断, 劈啪声//adj.突然的"
snatch,[snAtF],v.攫取//n.攫取
soar,[sC:; sCE],"v.高飞, 高丛, 滑翔, 剧增, 昂扬//n.高飞范围, 高涨程度"
sober,[5sEubE],adj.冷静的//v.镇定
sociology,[7sEusi5ClEdVi],n.社会学
software,[5sCftwZE],n.软件
solidarity,[7sCli5dAriti],n.团结
solitary,[5sClitEri],adj.孤独的
solo,[5sEulEu],n.独奏曲//adj.单独的
sovereign,[5sCvrin],"n.君主, 统治//adj.至高无上的, 君主的, 独立自主的, 完全的"
spacious,[5speiFEs],"adj.广大的, 大规模的"
sparkle,[5spB:kl],"v.发火花, (使)闪耀, (香槟酒等)发泡, 用眼神表达, 发光闪烁//n.火花, 闪光, 光彩, 活力, 发泡"
spatial,[5speiFEl],adj.空间的
speciality,[7speFi5Aliti],"n.特性, 特质, 专业, 特殊性"
species,[5spi:Fiz],"n.种类, (原)核素//n.[律]式样//n.[宗]圣餐物"
specifically,[spi5sifikEli],"adv.特定的, 明确的"
specification,[7spesifi5keiFEn],"n.详述, 规格, 说明书, 规范"
spectacle,[5spektEkl],"n.观览物, 展览物, 公开展示, 奇观, 景象, 光景, (a pair of ～s)眼镜"
spectacular,[spek5tAkjulE],"adj.引人入胜的, 壮观的"
spectator,[spek5teitE;5spekteitE],n.观众(指比赛或表演) 规范
spectrum,[5spektrEm],"n.光, 光谱, 型谱//频谱"
speculate,[5spekju7leit],"vi.推测, 思索, 做投机买卖"
spiral,[5spaiErEl],adj.螺旋形的//n.螺旋//v.盘旋
splash,[splAF],"n.溅, 飞溅, 斑点//v.溅, 泼, 溅湿"
spokesman,[5spEuksmEn],"n.发言人, 代表者"
sponge,[spQndV],"n.海绵, 海绵体, 海绵状物, (外科用的)棉球, 纱布//v.用海绵等冼涤、揩拭、擦拭或清除, 用海绵吸收(液体), (俗)依赖某人生活, 诈取某人钱财, 海绵般吸收"
spontaneous,[spCn5teinjEs; -niEs],"adj.自发的, 自然产生的"
spouse,[spauz],n.配偶(指夫或妻)Es
spy,[spai],"n.特工人员, 间谍, 侦探, 探员, 秘密侦察他人行动者//v.侦察, 侦察, 发现"
stabilize,[5steibilaiz],v.稳定
stagger,[5stAgE],"v.摇晃, 蹒跚, 交错, 摇摇摆摆//adj.交错的"
staircase,[5steEkeis],n.楼梯
stall,[stC:l],"n.货摊, 畜栏, 厩, 出售摊//v.(使)停转, (使)停止, 迟延"
startle,[5stB:tl],v.震惊
stationary,[5steiF(E)nEri],固定的
statistics,[stE5tistiks],"n.统计学, 统计表"
stereo,[5stiEriEu],"n.立体声系统, 立体声, [印]铅版, 立体照片//adj.立体的, 立体感觉的"
stereotype,[5stiEriEutaip],"n.[印]铅版, 陈腔滥调, 老套//vt.使用铅版, 套用老套, 使一成不变"
stern,[stE:n],"adj.严厉的, 苛刻的//n.船尾"
stimulus,[5stimjulEs],"n.刺激物, 促进因素, 刺激, 刺激"
stitch,[stitF],"v.缝, 缝合//n.一针, 针脚, 缝针"
straightforward,[streit5fC:wEd],"adj.正直的, 坦率的, 简单的, 易懂的, 直接了当的//adv.坦率地"
strategic,[strE5ti:dVik],"adj.战略的, 战略上的"
streamline,[5stri:mlain],adj.流线型的
stride,[straid],"v.大步走(过), 跨过, 大步行走//n.步幅"
striking,[5straikiN],"adj.打击的, 显著的, 惊人的, 罢工的"
strive,[straiv],"v.努力, 奋斗, 力争, 斗争"
stubborn,[5stQbEn],"adj.顽固的, 固执的, 坚定的, 坚决的, 难应付的, 难处理的"
studio,[5stju:diEu],"n.画室, 照相室, 工作室, (无线电或电视节目的)演播室, (制作电影的)摄影棚, (电影公司的)摄影场"
stumble,[5stQmbl],"v.绊倒, 使困惑, 蹒跚, 结结巴巴地说话, 踌躇//n.绊倒, 错误"
sturdy,[5stE:di],"adj.强健的, 坚定的, 毫不含糊的//n.[兽医]家畜晕倒病"
subjective,[sQb5dVektiv],"adj.主观的, 个人的"
subordinate,[sE5bC:dinit],"adj.次要的, 从属的, 下级的//n.下属//v.服从"
subscribe,[sEb5skraib],"v.捐款, 订阅, 签署(文件), 赞成, 预订"
subsidiary,[sEb5sidjEri],"adj.辅助的, 补充的"
subsidy,[5sQbsidi],"n.补助金, 津贴"
subtle,[5sQtl],"adj.狡猾的, 敏感的, 微妙的, 精细的, 稀薄的"
successor,[sEk5sesE],"n.继承者, 接任者, 后续的事物"
sue,[sju:; su:],"vt.控告, 向...请求, 请愿//vi.提出诉讼, 提出请求"
suffice,[sE5fais],"vi.足够, 有能力//vt.使满足"
suicide,[5sjuisaid],"n.自杀, 自毁, 给自己带来伤害或损失的行为"
suitcase,[5sju:tkeis],"n.手提箱, 衣箱"
summit,[5sQmit],"n.顶点, 最高阶层//adj.政府首脑的//vi.参加最高级会议的"
summon,[5sQmEn],"v.召集, 召唤, 号召, 鼓起, 振作"
superb,[sju:5pE:b],"adj.庄重的, 堂堂的, 华丽的, 极好的"
superiority,[sju(:)piEri5Criti],"n.优越, 高傲"
supersonic,[5sju:pE5sCnik],"adj.超音波的//n.超声波, 超声频"
supervise,[5sju:pEvaiz],"v.监督, 管理, 指导"
supplementary,[7sQpli5mentEri],"n.(supplementaries) 增补者, 增补物//adj.附助的"
suppress,[sE5pres],"vt.镇压, 抑制, 查禁, 使止住"
surge,[sE:dV],"n.巨涌, 汹涌, 澎湃//vi.汹涌, 澎湃, 振荡, 滑脱, 放松//vt.使汹涌奔腾, 急放"
surgeon,[5sE:dVEn],n.外科医生
surpass,[sE:5pB:s],"vt.超越, 胜过"
surplus,[5sE:plEs],"n.剩余, 过剩, [会计]盈余//adj.过剩的, 剩余的//vt.转让, 卖掉"
survival,[sE5vaivEl],"n.生存, 幸存, 残存, 幸存者, 残存物"
susceptible,[sE5septEbl],"adj.易受影响的, 易感动的, 容许...的//n.(因缺乏免疫力而)易得病的人"
suspension,[sEs5penFEn],"n.吊, 悬浮, 悬浮液, 暂停, 中止, 悬而未决, 延迟"
suspicious,[sEs5piFEs],"adj.(～ of) 可疑的, 怀疑的"
swamp,[swCmp],"n.沼泽, 湿地, 煤层聚水//v.陷入沼泽, 淹没, 覆没"
symmetry,[5simitri],"n.对称, 匀称"
symphony,[5simfEni],"n.交响乐, 交响曲"
symposium,[sim5pEuziEm; -5pC-],"n.讨论会, 座谈会"
symptom,[5simptEm],"n.[医][植]症状, 征兆"
synthesis,[5sinWisis],"n.综合, 合成"
tablet,[5tAblit],"n.写字板, 书写板, 碑, 牌匾, 拍纸簿, 便笺簿, 药片, 小块"
tackle,[5tAkl],"n.工具, 复滑车, 滑车, 辘轱, 用具, 装备, 扭倒//vt.固定, 应付(难事等), 处理, 解决, 抓住//vi.捉住, 扭住, 扭倒"
tactics,[5tAktiks],"n.战术, 策略"
tangle,[5tANgl],n.混乱状态//v.处于混乱状态
tar,[tB:],"[计]一种压缩文件的扩展名//n.焦油, 柏油"
tariff,[5tArif],"n.关税, 关税表, 税则, (旅馆, 饭店等的)价目表、价格表//vt.课以关税"
tease,[ti:z],"n.揶揄, 戏弄, 逗惹//vt.取笑, 逗恼, 奚落, 欺负, 嘲弄, 取笑, 强求, 梳理"
temperament,[5tempErEmEnt],"n.气质, 性情, 易激动, 急躁"
tempo,[5tempEu],"n.(音乐)速度、拍子, 发展速度"
tenant,[5tenEnt],"n.承租人, 房客, 租客//v.出租"
tentative,[5tentEtiv],"n.试验, 假设//adj.试验性的, 试探的, 尝试的, 暂定的"
terminate,[5tE:mineit],"v.停止, 结束, 终止"
terrace,[5terEs],"n.梯田的一层, 梯田, 房屋之平顶, 露台, 阳台, 倾斜的平地//adj.(女服)叠层式的//vt.使成梯形地, 使有平台屋顶"
terrain,[5terein],n.地形
terrific,[tE5rifik],adj.令人恐怖的
terrify,[5terifai],"vt.使恐怖, 恐吓"
testify,[5testifai],"v.证明, 证实, 作证"
testimony,[5testimEni],"n.证词(尤指在法庭所作的), 宣言, 陈述"
texture,[5tekstFE],"n.(织品的)质地, (木材, 岩石等的)纹理, (皮肤)肌理, (文艺作品)结构"
thanksgiving,[WANks5giviN],"n.感谢, [宗]感恩祈祷"
theft,[Weft],"n.偷, 行窃, 偷窃的事例, 偷窃行为"
theme,[Wi:m],"n.(谈话, 写作等的)题目, 主题, 学生的作文, 作文题, [音乐] 主题, 主题曲, 主旋律"
therapy,[5WerEpi],n.治疗
thereafter,[TZEr5B:ftE],"adv.其后, 从那时以后"
thermal,[5WE:mEl],"adj.热的, 热量的"
thesis,[5Wi:sis],"n.论题, 论文"
thirst,[WE:st],"n.渴, 口渴, (～ for)渴望, 热望"
thorn,[WC:n],"n.[植]刺, 棘, 荆棘"
threshold,[5WreFhEuld],"n.开始, 开端, 极限"
thrill,[Wril],v.发抖
tick,[tik],"n.滴答声, 记号, 勾号, 扁虱//v.滴答地响, 标以记号, 作滴答声"
tile,[tail],"n.瓦片, 瓷砖"
tilt,[tilt],"v.(使)倾斜, (使)翘起, 以言词或文字抨击"
timber,[5timbE],"n.木材, 木料"
timely,[5taimli],"adj.及时的, 适时的"
timid,[5timid],"adj.胆小的, 羞怯的"
token,[5tEukEn],"n.表示, 向征, 记号, 代币//adj.象征的, 表意的"
tolerant,[5tClErEnt],"adj.容忍的, 宽恕的, 有耐药力的"
toss,[tCs],"v.投, 掷"
tow,[tEu],"n.拖, 拖曳所用之绳, 麻的粗纤维//vt.拖, 曳, 牵引//vi.拖行, 被拖带"
tract,[trAkt],"n.广阔的地面, 土地, 地方, 地域, (解剖)管道, 小册子"
tragic,[5trAdVik],"adj.悲惨的, 悲剧的//n.(文艺作品或生活中的)悲剧因素, 悲剧风格"
trait,[treit],"n.显著的特点, 特性"
transaction,[trAn5zAkFEn],"n.办理, 处理, 会报, 学报, 交易, 事务, 处理事务"
transcend,[trAn5send],"vt.超越, 胜过"
transient,[5trAnziEnt],"adj.短暂的, 瞬时的//n.瞬时现象"
transit,[5trAnsit],"n.经过, 通行, 搬运, 运输, 运输线, 转变//vt.横越, 通过, 经过//vi.通过//n.[天] 中天, 经纬仪"
transition,[trAn5ziVEn; -5siFEn],"n.转变, 转换, 跃迁, 过渡, 变调"
transplant,[trAns5plB:nt],"v.移植, 移种, 移民, 迁移//n.移植, 被移植物, 移居者"
traverse,[5trAvE(:)s],"n.横贯, 横断, 横木, 障碍, 否认, 反驳, (建筑)通廊//vt.横过, 穿过, 经过, 在...来回移动, 反对, 详细研究//vi.横越, 横断, 旋转, 来回移动//adj.横断的, 横的"
trench,[trentF],"n.沟渠, 堑壕, 管沟, 电缆沟, 战壕//v.掘沟, 挖战壕"
tribe,[traib],"n.部落, 部族"
tribute,[5tribju:t],"n.贡品, 礼物, 颂词, 殷勤, 贡物"
trifle,[5traifl],"n.琐事, 少量, 蛋糕, 小事//v.开玩笑, 玩弄, 闭混, 浪费, 嘲弄"
trigger,[5trigE],"vt.引发, 引起, 触发//n.板机"
triple,[5tripl],"n.三倍数, 三个一组//adj.三倍的//vt.三倍与//vi.增至三倍"
trivial,[5triviEl],"adj.琐细的, 价值不高的, 微不足道的"
tuck,[tQk],"n.缝摺, 活力, 鼓声, 船尾突出部下方, 食物(尤指点心、蛋糕)//vt.打摺, 卷起, 挤进, 塞, 使隐藏//vi.折成摺子, 缩拢"
tug,[tQg],"v.用力拖, 吃力地搬运, 苦干, 用拖轮拖, 拖拉//n.拖, 苦干, 拖船, (牵引用的)绳索"
tuition,[tju:5iFEn],n.学费
tumble,[5tQmbl],"n.跌倒, 摔跤, 翻斤斗//vi.翻倒, 摔倒, 倒塌, 滚动, 翻筋斗, 仓惶地行动//vt.使摔倒, 使滚翻, 弄乱"
turbulent,[5tE:bjulEnt],"adj.狂暴的, 吵闹的"
turnover,[5tE:n7EuvE],"n.翻覆, 翻折, 半圆卷饼, 流通量, 营业额, 周转//adj.有一部分翻转的, 可翻转的"
tutor,[5tju:tE],"n.家庭教师, (大学)指导教师, 助教, 监护人, 辅导教师//v.辅导"
ultraviolet,[5QltrE5vaiElit],"adj.紫外线的, 紫外的//n.紫外线辐射"
unanimous,[ju(:)5nAnimEs],"adj.意见一致的, 无异议的"
underestimate,[5QndEr5estimeit],"vt.低估, 看轻//n.低估"
underlying,[5QndE5laiiN],"adj.在下面的, 根本的, 潜在的, [商]优先的"
undermine,[7QndE5main],v.破坏
unemployment,[5Qnim5plCimEnt],"n.失业, 失业人数"
unfold,[Qn5fEuld],"vt.打开, 显露, 开展, 阐明//vi.伸展, 开花, 呈现//vt.放(羊)出栏"
unify,[5ju:nifai],"vt.统一, 使成一体"
update,[Qp5deit],"v.使现代化, 修正, 校正, 更新//n.现代化, 更新"
upgrade,[5Qpgreid],"n.升级, 上升, 上坡//adv.往上//vt.使升级, 提升, 改良品种"
uphold,[Qp5hEuld],"vt.支持, 赞成"
validity,[vE5liditi],"n.有效性, 合法性, 正确性"
valve,[vAlv],"n.阀, [英] 电子管, 真空管"
vegetation,[7vedVi5teiFEn],"n.[植]植被, (总称)植物、草木, (植物的)生长、呆板单调的生活"
veil,[veil],"n.面纱, 面罩, 帐, 幕, 掩饰物, 遮蔽物, 口实, 假托//vt.戴面纱, 隐藏, 遮蔽, 掩饰//vi.蒙上面纱"
vein,[vein],"n.血管, 静脉, 叶脉, 翅脉, 矿脉, 纹理, 性情, 心绪//vt.使成脉络, 象脉络般分布于"
vent,[vent],"n.通风孔, 出烟孔, 出口, (感情等的)发泄//v.放出, 排出, 发泄"
ventilate,[5ventileit],"vt.使通风, 给...装通风设备"
verbal,[5vE:bEl],adj.口头的
verdict,[5vE:dikt],"n.[律](陪审团的)裁决, 判决, 判断, 定论, 结论"
verge,[vE:dV],v.濒临//n.边缘
versatile,[5vE:sEtail],"adj.通用的, 万能的, 多才多艺的, 多面手的"
verse,[vE:s],"n.韵文, 诗, 诗节, 诗句, 诗篇"
versus,[5vE:sEs],"prep.对(指诉讼,比赛等中), 与...相对"
veto,[5vi:tEu],"n.否决, 禁止, 否决权//vt.否决, 禁止"
vicinity,[vi5siniti],"n.邻近, 附近, 接近"
vicious,[5viFEs],"adj.恶的, 不道德的, 恶意的, 刻毒的, 堕落的, 品性不端的, 有错误的"
violate,[5vaiEleit],"vt.违犯, 亵渎(圣物), 冒犯, 干扰, 违反, 妨碍, 侵犯, 强暴"
virgin,[5vE:dVin],"n.处女, (晚近用法)处男//adj.处女的, 童贞的, 纯洁的, 洁白无瑕疵的, 未被玷污的, 原始的, 处于原耒状态的, 未采伐过的森林//美国著名游戏软件公司"
virtual,[5vE:tjuEl; -tFuEl],"adj.虚的, 实质的, [物]有效的, 事实上的"
virus,[5vaiErEs],"n.[微]病毒, 滤过性微生物, 毒害, 恶毒"
visualize,[5vizjuElaiz; 5viV-],"vt.形象, 形象化, 想象//vi.显现"
vocal,[5vEukl],"adj.发嗓音的, 声音的, 有声的, 歌唱的//n.元音, 声乐作品"
vocational,[vEu5keiFEnEl],adj.职业的
void,[vCid],"n.空间, 空旷, 空虚, 怅惘//adj.空的, 无人的, 空闲的, 无效的, 无用的, 没有的"
volunteer,[vClEn5tiE(r)副?adj.志愿的; 义务的; 无偿的v.自愿],"n.志愿者, 志愿兵//adj.志愿的, 义务的, 无偿的//v.自愿"
vulgar,[5vQlgE(r); 庸俗的; 普通的; 通俗的; 本土的n.<古>平民; 百姓],"adj.粗俗的, 庸俗的, 普通的, 通俗的, 本土的//n.<古>平民, 百姓"
vulnerable,[5vQlnErEb(E)l],"adj.易受攻击的, 易受...的攻击"
wallet,[5wClit],"n.皮夹, 钱夹, 钓鱼带"
ward,[wC:d],"n.守卫, 保卫, 保护, 牢房, 病房, 行政区, 监护, 锁孔//vt.守护, 保卫, 防止, 挡住, 躲开, 避免"
warehouse,[5wZEhaus],"n.仓库, 货栈, 大商店//vt.贮入仓库, <俚>[经]以他人名义购进(股票)"
warfare,[5wC:fZE],"n.战争, 作战, 冲突, 竞争"
warrant,[5wCrEnt],"n.授权, 正当理由, 根据, 证明, 凭证, 委任状, 批准, 许可证//vt.保证, 辩解, 担保, 批准, 使有正当理由"
watertight,[5wC:tEtait],"adj.不漏水的, 水密的"
watt,[wCt],"n.瓦特(1736-1819,英国工程师,发明家)碛"
weary,[5wiEri],"adj.疲倦的, 厌倦的, 令人厌烦的, 疲劳//v.疲倦, 厌倦, 厌烦"
web,[web],"n.网, 蛛丝, 蹼, 翼手, 织物, 圈套, 卷筒纸//vi.使陷入罗网, 形成网//vt.织蜘蛛网于, 使落入圈套//环球网"
wedge,[wedV],"n.楔//vt.楔入, 楔进"
whereas,[(h)wZEr5Az],"conj.然而, 反之, 鉴于, 尽管, 但是"
whereby,[(h)wZE5bai],"adv.凭什么, 为何"
whirl,[(h)wE:l],"v.(使)旋转, 急动, 急走//n.旋转, —连串快速的活动"
withhold,[wiT5hEuld],"vt.使停止, 拒给, 保留, 抑制//vi.忍住"
wrench,[rentF],"n.扳钳, 扳手, 猛扭, 痛苦, 扭伤, 歪曲//vt.猛扭, 使扭伤, 曲解, 抢, 折磨//vi.猛扭, 绞痛"
wretched,[5retFid],"adj.可怜的, 悲惨的, 肮脏的, 恶劣的"
wrinkle,[5riNkl],n.皱纹//v.使皱
yacht,[jCt],"n.游艇, 快艇, 轻舟//vi.驾游艇, 乘游艇"
yell,[jel],"vi.大叫, 忍不住笑, 呼喊//vt.叫着说//n.叫声, 喊声"
yoke,[jEuk],"n.轭, 轭状物, 套, 束缚, 支配//v.把...套上轭, 结合, 连接"
youngster,[5jQNstE],"n.年青人, 少年"
zinc,[ziNk],n.锌//vt.涂锌于
