Children's Day,[],"n.儿童节(基督教会浸礼的节日,通常在六月的第二个星期日)塞住//vt.塞"
Christmas Day,[],圣诞节
Christmas day,[],n.圣诞节
December,[di5sembE],n.十二月(略作Dec)4
It's very kind of...,[],谢谢…；…太好了
January,[5dVAnjuEri],n.一月(略作Jan):34
June,[dVu:n],n.六月(略作Jun):34
Miss,[],=Man-ln-space simulator 人在宇宙空间的模拟装置
National Day,[],国庆节
New Year's Day,[],元旦
New Year's day,[],n.元旦
November,[nEu5vembE],"n.十一月(略作Nov), 民族的"
October,[Ck5tEubE],n.十月(略作Oct):34
September,[sEp5tembE],n.九月(略作Sep):34
Teachers' Day,[],教师节
Tian An Men Square,[],天安门广场
a bowl of...,[],一碗…
a flower show,[],花展
after class,[],下课后
again,[E5gein],"adv.又, 再次, 此外, 再一次"
ago,[E5gEu],"adv.以前的, 以往的"
all the same,[],adv.仍然
arrive,[E5raiv],"vi.到达, 抵达"
arrive at\in,[],到达(某地)
at school,[],"adv.在学校, 在上课, 在求学"
bear,[bZE],"n.熊//v.负担, 忍受, 带给, 具有, 挤, 向"
beautiful,[5bju:tEful; -tiful],"adj.美丽的, 很好的"
bedroom,[5bedrum],n.卧室
before,[bi5fC:],"adv.在前, 以前//prep.在...之前//conj.在...之前, 与其...宁可"
behind,[bi5haind],adv.在后地//prep.在...之后
bowl,[bEul],"n.碗, 碗状物, 木球//v.滚, (板球)投球"
capital,[5kApitEl],"n.首都, 首府, 大写字母, 资本, 资金, 资产//adj.首都的, 重要的, 死罪的, 大写的, <口>极好的"
class,[klB:s],"n.班级, 阶级, 社会等级, 种类, (一节)课//vt.把...分类(或分等级)?"
clearly,[5kliEli],"adv.明朗地, 明显地, 无疑地"
computer,[kEm5pju:tE],"n.计算机, 电脑"
computergame,[],n.电子游戏
cough,[kC:f],n.咳嗽//v.咳嗽
date,[deit],"n.日期, 日子, (历史上某一)年代, 时期, 约会, 枣椰子//vt.约会, 定日期//vi.注明...的日期, 过时//[计] 显示或设置系统日期"
deer,[diE],n.鹿
dinner,[5dinE],"n.正餐, 宴会"
enjoy,[in5dVCi],"vt.享受...的乐趣, 欣赏, 喜爱//v.满意"
exciting,[ik5saitiN],"adj.令人兴奋的, 使人激动的"
expensive,[iks5pensiv],"adj.花费的, 昂贵的"
fair,[fZE],"adj.美丽的, 女性的, (肤色)白皙的, (头发)金黄的, 干净的, 公平的, (天气)晴朗的//adv.公平地, 公正地, 直接地, 清楚地//n.美好的事物, 美人, 展览会, 市集//vi.转晴"
fast,[fB:st],"adj.紧的, 牢的, 忠实的, 快速的, 耐久的, 紧的//adv.牢固地, 很快地, 紧紧地, 彻底地//n.禁食, 绝食, 斋戒//vi.绝食, 斋戒"
feel,[fi:l],"vt.摸, 触, 试探, 感觉, 觉得, 触摸, 以为//vi.有知觉, (人)有某种感觉, 摸索, 同情//n.感觉, 觉得, 触摸"
fever,[5fi:vE],"n.发烧, 发热, 热病, 狂热, 高度兴奋//v.(使)发烧, (使)患热病, (使)狂热"
film,[film],"n.薄膜, 膜层, 胶卷, 影片, 薄雾, 轻烟, 电影//vt.在...上覆以薄膜, 拍成电影//vi.生薄膜, 变成朦胧, 拍电影"
fish,[fiF],"n.鱼, 鱼肉, 鱼类, 接合板//vt.钓, 钓鱼, 查出, 用接合板连接//vi.捕鱼, 钓鱼, 用钩捞取, 间接探听, 拉摸索寻找"
flu,[flu:],n.流感
free,[fri:],"adj.自由的, 大方的, 免费的, 免税的, 丰富的, 空闲的//vt.释放, 使自由//adv.自由地, 免费"
game,[geim],"n.比赛, 游戏, 竞赛, [复]运动会, 玩耍, 比分, 比赛规则, 策略//vi.赌博//adj.勇敢的, 有胆量的, 关于野味的, 跛的"
get,[get],"vt.获得, 变成, 收获, 使得, 挣得, 受到(惩罚,打击等), 染上, 抓住//vi.到达, 成为, 变得//n.生殖, 幼兽"
go fishing,[],v.去钓鱼
half,[hB:f],"n.一半, 半时, (球赛)半场, 半学年//adj.一半的, 不完全的, 半途的//adv.一半地, 部分地, 相当的"
handwriting,[5hAnd7raitiN],"n.笔迹, 书写体, 书法, 笔势"
headache,[5hedeik],"n.头痛, 令人头痛之事"
help sb. with...,[],帮助某人(做某事)
interesting,[5intristiN],"adj.有趣味的, 引起好奇(或注意)的"
just,[dVQst],"adj.正义的, 公正的, 正确的, 应得的, 有充分根据的//adv.正好, 仅仅, 刚才, 只是, 不过"
just now,[],adv.刚刚
kind,[kaind],"n.种类, 性质//adj.仁慈的, 和蔼的, 亲切的, 友爱的"
lantern,[5lAntEn],"n.灯笼, 提灯, 幻灯, 信号, 天窗"
last,[lB:st],"adj.最后的, 临终的, 末尾的, 最近的, 结论性的//vi.持续, 支持, 维持//vt.使维持, 楦//adv.最后, 后来//n.最后, 末尾, 临终, 鞋楦头"
last Saturday,[],上星期六
last night,[],adv.昨晚
lend,[lend],"v.借给, 贷(款)峡? 在求学"
love,[lQv],"n.爱, 热爱, 爱情, 爱好, 性爱, 情人, 零//vt.爱, 热爱, 爱好, 爱慕//vi.爱"
matter,[5mAtE],"n.事件, 问题, 物质, 内容, 实质, 原因, (印刷或书写的)文件, (文章或讲话等的)素材//vi.有关系, 要紧"
mean,[mi:n; min],"adj.低劣的, 卑鄙的, 普通的, 吝啬的, 简陋的, 平均的, 惭愧的, 不舒服的//vt.意谓, 想要, 预定//vi.用意, 有意义//n.平均数, 中间, 中庸"
medicine,[5medsin; -disin],"n.药, 医学, 内科学, 内服药//vt.给...用药"
monitor,[5mCnitE],"n.班长, 监听器, 监视器, 监控器//vt.监控//v.监控"
mountain,[5mauntin],"n.山, 山脉"
mouth,[mauW],"n.口, 嘴"
must,[mQst; mEst],"aux.必须, 应当, 很可能, 一定, 必须, 肯定, 可以"
national,[5nAFEnEl],"adj.国家的, 国立[有]的, 民族的"
night,[nait],"n.夜, 夜晚, 黑暗, 死亡"
of,[Cv; Ev; v; f],"prep....的, 由...制成的, 离, 关于, 对于"
often,[5C(:)fn; 5C:ftEn],"adv.常常, 经常"
paint,[peint],"n.油漆, 颜料, 涂料//v.油漆, (用颜料等)画, 绘, 描绘, 逼真地描述"
pardon,[5pB:dn],"vt.原谅, 宽恕//n.原谅, 宽恕"
pass,[pB:s],"n.经过, 关口, 途径, 护照, 通行证, 入场券, 传球, 及格//vt.通过, 审查通过, 忽略, 传递//vi.经过, 变化, 流通, 宣判, 被忽略, 终止, 传递, 不叫牌"
past,[pB:st],"n.过去, 往时//adj.过去的, 结束的//prep.越过, 晚于//vbl.pass的过去分词"
pleasure,[5pleVE],"n.愉快, 快乐, 乐事, 乐趣, 意志, 愿望"
poor,[puE],"adj.贫穷的, 可怜的, 乏味的, 卑鄙的"
raincoat,[5reinkEut],n.<美>雨衣
rice,[rais],"n.稻, 米"
say,[sei],"v.说, 讲, 背诵, 念, 表示, 比方说, 假定//n.话语, 想说的意见, 发言权"
say hello to sb.,[],向某人问好\问候
shoe,[Fu:],"n.鞋, 鞋子//v.穿...鞋"
show,[FEu],"n.表示, 展览, 炫耀, 外观, 假装//v.出示, 指示, 引导, 说明, 显示, 展出, 放映"
slowly,[5slEuli],"adv.慢慢地, 迟缓地"
so-so,[5sEusEu],"adj.平常的, 不好不坏的"
son,[sQn],"n.儿子, 女婿, (长者对年轻男子的称呼)孩子"
square,[skwZE],"n.正方形, 广场, 平方, 直角尺//adj.正方形的, 四方的, 直角的, 正直的, 公平的, 结清的, 平方的, 彻底的//adv.成直角地, 正直地, 公平地, 坚定地//v.使成方形, 弄平, 使直, 与...一致, 符合, 自乘, 结算"
sun,[sQn],"n.太阳, 阳光, 恒星//vt.晒//n.(Sun) 星期天(=Sunday)//美国Sun公司，主要生产SUN系列工作站和网络产品, 是JAVA语言的创始者"
take medicine,[],吃药；服药
teachers' day,[],n.教师节
terrible,[5terEbl],"adj.很糟的, 极坏的, 可怕的, 骇人的"
the Capital Cinema,[],首都影院
the Lantern Fair,[],灯会
tonight,[tE5nait],"adv.今晚, 今夜//n.今晚"
train,[trein],"n.火车, 列车, 行列, 后果, 顺序, 长队, 长袍(裙)拖地的部分, 导火线//vt.训练, 培养, 瞄准, (园艺)整枝//vi.锻炼"
trip,[trip],"n.(短途)旅行, 绊倒, 摔倒, 失足, 往返, 差错, 支吾, 旅程//vt.使跌倒, 使犯错, 使失败, 挑剔//vi.轻快地走, 摔倒, 绊倒, 失足, 结巴, 远足, 犯错, 旅行"
two weeks ago,[],两周前
understand,[7QndE5stAnd],"v.懂, 了解, 听说, 推定, 以为, 省略"
with pleasure,[],"adv.愉快地, 愿意"
yesterday,[5jestEdi],n.昨天//adv.昨天
yesterday morning,[],昨天早晨\上午
