Africa,[5AfrikE],n.非洲
America,[E5merikE],"n.<美>美国, 美洲(包括北美和南美洲).入盒中, 打耳光, 拳击"
Australia,[Cs5treiljE],"n.澳洲, 澳大利亚"
Beijing,[beidViN],北京
Canada,[5kAnEdE],n.加拿大
China,[5tFainE],"n.中国, 瓷器"
Chinese,[5tFai5ni:z],"adj.中国的, 中国人的, 中国话的, 汉语的//n.中国人, 中国话, 汉语, 中文"
Coca-Cola,[5kEukE5kEulE],n.可口可乐
England,[5inglEnd],"n.英格兰(英国的主要部分), 英格兰和威尔士, 英国"
I'm afraid.,[],恐怕
Japan,[dVE5pAn],n.日本
London,[5lQndEn],n.伦敦
MRS,[5misiz],"abbr.[军] Muzzle Reference Sight, 炮口基准系统"
Mickey Mouse,[],n.米老鼠
Mrs.,[5misiz],n.夫人，太太
New York,[5nju: 5jC:k],n.纽约
Paris,[5pAris],"n.巴黎(法国首都)nj.而是, 但是//adv.几乎, 仅仅"
Tokyo,[5tEukjEu],n.东京(日本首都)
a bottle of,[],一瓶…
a cup of,[],一杯…
a glass of,[],一杯
about,[5Ebaut],"adv.附近, 大约, 转向, 左右, 周围//prep.在附近, 关于, 在...周围, 忙于"
afraid,[E5freid],"adj.害怕, 担心"
after,[5B:ftE],"adv.prep.conj.在...之后, 在...后面, 模仿, 与...一致, 以...命名, 后来的, 后面的"
afternoon,[5B:ftE5nu:n],"n.午后, 下午//adv.下午的, 晚期"
all,[C:l],"adj.全部的, 所有的, 整个的//adv.完全, 更加, 越发//pron.全部"
also,[5C:lsEu],"adv.也, 同样"
any,[5eni],"adj.任何的, 任何一种, 所有的//pron.无论那一个, 任何"
apple,[5Apl],"n.苹果, 似苹果的果实"
at,[At; Et],"prep.在, 于, 向, 对准, 在...方面//[域] Austria , 奥地利"
at home,[],"adv.在家, 在本地, 在国内, 熟悉"
ball,[bC:l],"n.球, 球状物, 子弹, 舞会, 尽情地玩"
ball-pen,[bC:l pen],n.圆珠笔
banana,[bE5nB:nE],n.香蕉
beer,[biE],n.啤酒
best,[best],"adj.最好的//adv.最好地, 最, 极//n.最佳状态或作品, 最好的东西"
big,[big],"adj.大的, 重要的, 量大的, 重要的//adv.夸大地, 顺利"
bottle,[5bCtl],n.瓶子//vt.用瓶装
bread,[bred],"n.面包, 生计"
breakfast,[5brekfEst],n.早餐//vi.进早餐
bright,[brait],"adj.明亮的, 辉煌的, 欢快的, 聪明的, 伶俐的"
brush,[brQF],"n.刷子, 毛刷, 画笔//vt.刷, 掸, 拂"
but,[bEt; bQt],"prep.除...以外//conj.而是, 但是//adv.几乎, 仅仅"
buy,[bai],"v.买//n.购买, 买卖"
cheap,[tFi:p],"adj.便宜的, 不值钱的"
chess,[tFes],n.国际象棋
chicken,[5tFikin],"n.小鸡, 小鸟, 鸡肉"
class,[klB:s],"n.班级, 阶级, 社会等级, 种类, (一节)课//vt.把...分类(或分等级)"
clean,[kli:n],"adj.清洁的, 干净的, 清白的//v.打扫, 使干净, 清扫"
clock,[klCk],n.时钟
coffee,[5kCfi],"n.咖啡, 咖啡树, 咖啡茶, 咖啡豆, 咖啡色"
collect,[kE5lekt],"v.收集, 聚集, 集中, 搜集//adj.由收件人付款的//adv.由收件人付款地"
collecting stamps,[],集邮
cup,[kQp],"n.杯子, 酒杯, 奖杯//vt.使成杯状, 为...拔火罐"
dance,[5dB:ns],"n.跳舞, 舞蹈, 舞会, 舞曲, 舞蹈艺术//v.跳舞, 舞蹈, (旗等)飘扬"
dear,[diE],"adj.昂贵的, 亲爱的//int.[表示惊讶, 怜悯等], Oh, ～!"
dictionary,[5dikFEnEri],"n.字典, 词典"
do,[dEu],"v.做, 实行, 尽力, 给予, 可用, 制作, 算出, 解答//[域] Dominican Republic , 多米尼加共和国"
do homework,[],做作业
draw,[drC:],"v.拉, 曳, 牵, 画, 绘制, 拖曳//vt.汲取, 领取, 提取, 引起, 吸引//vi.向...移动, 挨近//n.平局, 和局, 拖曳"
early,[5E:li],"adj.早的, 早熟的, 及早的, 早先的, 早期的//adv.早, 在初期"
eighteen,[5ei5ti:n],"adj.十八的, 十八个的"
eleven,[i5levEn],n.十一
evening,[5i:vniN],"n.傍晚, 晚间, 后期, (联欢性的)晚会"
fat,[fAt],"n.脂肪, 肥肉//adj.肥大的, 丰满的, 肥的, 胖的, 油腻的//n.文件分配表//vt.养肥, 在...中加入脂肪//vi.长肥"
fifteen,[5fif5ti:n],adj.十五
fifty,[5fifti],adj.五十
football,[5futbC:l],"n.足球, 橄榄球"
forty,[5fC:ti],"num.四十, 40//n.四十岁"
fourteen,[5fC:5ti:n],num.十四
from,[frCm; frEm; frm],"prep.从, 今后, 来自, 由于"
garden,[5gB:dn],"n.(菜、花)园, 花园"
get up,[],v.起床
glad,[glAd],"adj.高兴的, 乐意的, 感到高兴的"
glass,[glB:s],"n.玻璃, 玻璃制品, 玻璃杯, 镜子, 眼镜, 望远镜, 气压计, 晴雨表//vt.装玻璃于, 反映//vi.成玻璃状"
glue,[glu:],"n.胶, 胶水//vt.胶合, 粘贴, 粘合"
go home,[],v.回家
go to bed,[],v.上床
go to school,[],v.上学
go to work,[],"开始行动, 着手工作"
granny,[5grAni],n.奶奶
hammer,[5hAmE],"n.铁锤, 槌, 锤子//v.锤击, 锤打"
have,[hAv],"vt.有, 持有, 拿, 从事(某事)//aux.已经"
have breakfast,[],吃早饭
have lunch,[],吃午餐
have supper,[],吃晚餐
help,[help],"n.帮忙, 补救办法, 助手, 治疗, <美>佣工//vt.帮助, 助长, 接济, 治疗, 款待//vi.有用, 救命, 招待//[计] 显示命令格式的简短概述"
here,[hiE],"adv.在这里, 此时, 这时, [宗]在尘世间//n.这里"
hobby,[5hCbi],n.业余爱好
home,[hEum],"n.家, 住宅, 家乡, 本国, 产地, 避难所//adj.家庭的, 国内的, 有效的//adv.在家, 回家, 深入地, 在本国"
homework,[5hEumwE:k],"n.家庭作业, 副业"
ice,[ais],"n.冰冻食品//vt.冰冻, 覆以冰//vi.结冰//abbr.[军] Intenal Combustion Engine, 内燃机"
ice-cream,[5aiskri:m],"adj.冰淇淋的, 乳白色的"
in,[in],"prep.在...之内(上), 在...期间, 从事于, 符合, 穿着//adv.进入, 朝里, 在家, 已到达(来临)//adj.在里面的, 执政的//n.执政者, 入口//[域] India , 印度"
in the afternoon,[],adv.在下午
in the evening,[],在晚上
ink,[iNk],n.墨水
kangaroo,[7kANgE5ru:],n.[动]袋鼠
library,[5laibrEri],"n.图书馆, 藏书室, 库"
like,[laik],"n.爱好, 同样的人(或物)//adj.相似的, 同样的//vt.喜欢, 希望, 愿意//vi.喜欢, 希望//prep.象, 如同//adv.可能"
lion,[5laiEn],"n.狮子, (剽悍的人)社交场合的名流"
long,[lCN],"adj.长的, 长期的, 做多头的, 高的//vi.渴望, 热望//adv.长期地, 始终//n.长时间, (市场上)做多头的人, [语音]长音节"
look for,[],"v.寻找, 期待"
lunch,[lQntF],n.午餐
maths,[mAWs],n.数学
may,[mei; me],"aux.可能, 也许, 可以, 祝, 愿//n.(May) 五月, 能, 可能"
me,[mi:7mi],pron.我
meet,[mi:t],"n.会, 集会//adj.适宜的, 合适的//vt.遇见, (迎)接, 与(某人目光)相遇, (赴约)和...会面, (经介绍)与...相识, 对付//vi.相遇, 接触"
monkey,[5mQNki],n.猴子
mouse,[maus],"n.鼠, 耗子//v.搜寻"
much,[mQtF],"adj.许多的, 大量的//adv.非常, 很, ...多, 更加, 非常, 得多, 多达, 多得多//n.许多, 大量//num.许多"
nineteen,[5nain5ti:n],num.十九
no,[nEu],"n.否定, 投反对票者//adj.没有, 不许, 反对//adv.不, 并不, 毫不//[域] Norway , 挪威"
noise,[nCiz],"n.喧闹声, 噪声, 噪音"
not,[nCt],adv.不
now,[nau],"adv.现在, 目前, 此刻, 立刻, 马上//n.现在, 如今//conj.既然"
old,[Euld],"adj.年老的, 老的, ...岁的, 陈旧的, 古老的"
only,[5Eunli],"adj.唯一的, 单独的, 最好的, 最合适的//adv.仅仅, 只不过//conj.但是, 可是"
opener,[5EupEnE],"n.开启的人, 开始者"
orange,[5CrindV],"n.柑, 桔, 橙, 橙色"
our,[5auE],pron.我们的
paper,[5peipE],"n.纸, 报纸, 文件, 证件, 论文, 考卷//vt.用纸糊(墙壁等), 用纸包装//adj.纸的, 象纸的, 纸上的"
parents,[5pZErEnts],n.父母，双亲
pingpong,[],"n.乒乓球, 桌球"
play,[plei],"n.游戏, 比赛, 运动, 赌博, 剧本//v.玩, 扮演, 播放, 进行比赛//v.播放"
play chess,[],v.下棋
play football,[],踢足球// 对难办的事采取踢足球的态度
please,[pli:z],"adj.满足的//vt.请//v.使喜欢, 中...的意, 使满足, 取悦"
read,[ri:d],"v.读, 阅读, 理解, 学习//adj.有学问的//n.读取//vbl.read的过去式和过去分词"
right,[rait],"n.正义, 公正, 正确, 权利, 右边, 右派//adj.正当的, 正确的, 对的, 合适的, 恰当的, 健康的, 健全的, 正面的//adv.正当地, 正确地, 一直地, 直接地, 完全地, 彻底地, 在右边"
room,[ru:m; rum],"n.房间, 屋子, 寓所, 场所, 地位, 空间, 机会, 余地"
run,[rQn],"n.跑, 赛跑, 奔跑, 运转, 趋向//vi.跑, 奔, 逃跑, 竞选, 跑步, 蔓延, 进行, 行驶//vt.使跑, 参赛, 追究, 使流, 管理, 运行, 开动//adj.熔化的, 融化的, 浇铸的//vbl.run的过去式和过去分词"
running,[5rQniN],"n.奔跑, 赛跑, 转动, 运转//adj.奔跑的, 赛跑的, 流动的, 不断的, 连续的, 连接的"
salesman,[5seilzmEn],"n.售货员, 推销员"
saleswoman,[],"n.女售货员, 女店员"
schoolbag,[`sku:lbAg],n.书包
seventeen,[5sevEn5ti:n],num.十七//n.十七个
shirt,[FE:t],"n.衬衫, 衬衣"
short,[FC:t],"n.简略, 短路, 短裤//adj.短的, 矮的, 不足的, 不够的, (智力等)弱的, 浅薄的, 松脆的, 简短//adv.突然, 缺乏, 不足"
sing,[siN],"v.唱, 演唱"
sir,[sE:; sE],"n.先生, 阁下"
sixteen,[5siks5ti:n],num.十六
sleep,[sli:p],"vi.睡, 睡觉//n.睡眠"
small,[smC:l],"adj.小的, 少的"
so,[sEu; sE],"conj.因而, 所以, 那么, 这样看来//adv.[表示程度] 如此, 那么, 非常, 很, [表示方式] 这样, 那样, 如此, 因此//[域] Somalia , 索马里"
some,[sQm; sEm; sm],"adj.一些, 少许, 若干, 有些, 大约, 相当的//pron.一些, 若干, 有些, 某些"
sorry,[5sCri],"adj.遗憾的, 对不起的, 可怜的, 抱歉的"
spare,[spZE],"adj.多余的, 剩下的, 高而瘦的人的, 少量的, 贫乏的, 备用的//v.节约, 节省, 不伤害, 宽恕, 分让, 提供给某人"
stamp,[stAmp],"n.邮票, 印花, 印, 图章, 标志, 印记, 跺脚, 顿足//v.跺(脚), 顿(足), 压印"
stop,[stCp],"n.停止, 车站, 逗留, 障碍, 风琴的音栓, 填塞//vi.停止, 被塞住//vt.塞住, 堵塞, 阻止, 击落, 断绝, 终止, 难倒"
supper,[5sQpE],n.晚餐
swim,[swim],"n.游泳, 漂浮, 潮流, 眼花//adj.游泳时穿戴的vi.游泳, 游, 漂浮, 旋转, 覆盖, 充溢, 眩晕, 浸//vt.游过, 使浮起//adj.游泳时穿戴的"
swimming,[5swimiN],"n.游水, 目眩//adj.游泳(者)的, 游泳(者)用的, 会游泳的"
tall,[tC:l],"adj.高的, 长的, 夸大的//adv.<俚> 夸大地"
tape,[teip; tep],"n.带子, 带, 录音带, 磁带//vt.录音"
them,[Wem],"pron.[they 的宾格] 他们, 她们, 它们"
there,[TZE; TE],adv.在那里
thin,[Win],"adj.薄的, 细的, 瘦的, 稀少的, 稀疏的, (液体、气体)稀薄的, 淡的, 空洞的//vt.使变薄, 使变细, 使稀少, 使淡//vi.变薄, 变细, 稀少, 变淡//adv.薄地, 稀疏地, 微弱地//n.细小部分"
thirteen,[5WE:5ti:n],num.十三
thirty,[5WE:ti],num.三十
ticket,[5tikit],"n.票, 入场券"
tiger,[5taigE],"n.[动]老虎, 虎, 凶暴的人"
time,[taim],"n.时间, 时侯, 时机, 节拍, 期限, 次数, 时期, 比赛限时//vt.安排...的时间, 记录...的时间, 计时, 定时//vi.打拍子, (...)合拍//adj.时间的, 记时的, 定时的, 定期的, 分期的//n.DOS命令：显示并允许改变系统时间"
today,[tE5dei],"adv.今天, 现今//n.今天, 现今"
too,[tu:],"adv.也, 太过份"
tree,[tri:],"n.树, 木料, 树状物//vt.赶上树//n.[计] 显示驱动器的子目录结构//vi.爬上树, 逃上树"
twelve,[twelv],num.十二
twenty,[5twenti],"num.二十, 二十个"
use,[ju:s],"vt.使用, 利用, 耗费//n.使用, 利用, 用途, 效用, 使用价值"
usually,[5ju:VuEli],"adv.通常, 大抵"
very much,[],很，非常(修饰动词)
wait,[weit],"v.(～ for)等待, 等候//n.等待, 等待时间"
wait for,[],v.等待
waiter,[5weitE],"n.侍者, 服务员"
want,[wCnt],"vt.想要, 希望, 需要, 短缺, 缺少//n.需要, 短缺"
watch,[wCtF],"n.注视, 注意, 手表, 看守, 守护, 监视, 值班人//vt.看, 注视, 照顾, 监视, 警戒, 守护, 看守//vi.观看, 注视, 守侯//adj.手表的, 挂表的"
water,[5wC:tE],"n.水, 雨水, 海水, 水位, 水面, 流体//vt.喷淋, 供以水, 注入水, 使湿//vi.流泪, 加水//adj.水的, 水上的, 水生的, 含水的"
we,[wi:; wi],pron.我们
well,[wel],"adj.健康的, 良好的, 适当的//adv.好, 满意地, 充分地, 彻底地, 有理地, 适当地, 夸奖地//n.井//vi.涌出"
when,[(h)wen],"conj.就在那个时候, 在...的时候//adv.什么时候, ...的时候//pron.什么时侯, 那时"
work,[wE:k],"n.工作, 劳动, 操作, 职业, [物]功, 手工, 作品, 机件//v.(使)工作, (使)运转, 起作用, 造成, 产生, 经营, (使)渐渐移动, 煅制"
would like,[wud7 wEd],想要
write,[rait],"vt.书写, 著述, 写, 写满, 写信给//vi.写, 写字, 写信, 写作, 作曲"
young,[jQN],"adj.年轻的, 年纪小的, 没有经验的, 尚早的, 初期的//n.(动物的)崽, 仔"
yuan,[ju:5B:n],n.元(中国货币单位)倘? 缺少
